circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
SAN RAFAEL,SAN RAFAEL 2,MONTÚFAR,ZONA 1,BOLÍVAR,402,CARCHI,4
VALLE HERMOSO,VALLE HERMOSO 3,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
AGUARICO,AGUARICO 1,AGUARICO,ZONA 2,AGUARICO,2202,ORELLANA,22
JAMBELI,JAMBELI 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
EL GUABITO,EL GUABITO 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
LA TINGUE,LA TINGUE 1,CATAMAYO,ZONA 7,OLMEDO,1116,LOJA,11
SAN ANTONIO DE LAS ARADAS,SAN ANTONIO DE LAS ARADAS 1,CALVAS,ZONA 7,QUILANGA,1115,LOJA,11
GUALACEO SUR,GUALACEO SUR 1,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
GUARE DE BABA,GUARE DE BABA 1,BABAHOYO,ZONA 5,BABA,1202,LOS RÍOS,12
AIRE LIBRE,AIRE LIBRE 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
EL VERGEL NORTE,EL VERGEL NORTE 1,BUENA FE,ZONA 5,VALENCIA,1211,LOS RÍOS,12
LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO 2,PEDRO CARBO,ZONA 5,LOMAS DE SARGENTILLO,924,GUAYAS,9
CANCHAGUA,CANCHAGUA 1,DANSANTE,ZONA 3,SAQUISILÍ,506,COTOPAXI,5
CISNE,CISNE 1,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA ESPERANZA,LA ESPERANZA 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
SAN VICENTE DE BUA,SAN VICENTE DE BUA 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
PINZÓN,PINZÓN 1,GALÁPAGOS,ZONA 5,SANTA CRUZ,2003,GALÁPAGOS,20
JIMBILLA,JIMBILLA 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
SAN ANDRÉS,SAN ANDRÉS 1,PÍLLARO,ZONA 3,SANTIAGO DE PÍLLARO,1808,TUNGURAHUA,18
GENERAL VILLAMIL,GENERAL VILLAMIL 1,PLAYAS,ZONA 5,PLAYAS,921,GUAYAS,9
TABLADO DEL TIGRE,TABLADO DEL TIGRE 1,BOLÍVAR JUNÍN,ZONA 4,BOLÍVAR,1302,MANABÍ,13
SIXTO DURÁN BALLÉN,SIXTO DURÁN BALLÉN 1,24 DE MAYO,ZONA 4,24 DE MAYO,1316,MANABÍ,13
EL PAN,EL PAN 1,PAUTE,ZONA 6,EL PAN,112,AZUAY,1
SABANILLA,SABANILLA 1,ZAMORA,ZONA 7,ZAMORA,1901,ZAMORA CHINCHIPE,19
RAMÓN CAMPAÑA,RAMÓN CAMPAÑA 1,PANGUA,ZONA 3,PANGUA,503,COTOPAXI,5
SAN VICENTE,SAN VICENTE 2,SUCRE,ZONA 4,SAN VICENTE,1322,MANABÍ,13
MORALES,MORALES 1,ZARUMA,ZONA 7,PORTOVELO,711,EL ORO,7
