circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
YUNGANZA,YUNGANZA 1,MÉNDEZ,ZONA 6,LIMÓN INDANZA,1403,MORONA SANTIAGO,14
EL BOSQUE,EL BOSQUE 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
24 DE MAYO,24 DE MAYO 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
LOS ESTEROS,LOS ESTEROS 2,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
MONTE BELLO,MONTE BELLO 3,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUAYACANES,GUAYACANES 6,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ECHEANDÍA,ECHEANDÍA 1,SUBTRÓPICO,ZONA 5,ECHEANDÍA,204,BOLÍVAR,2
MARÍA AUXILIADORA,MARÍA AUXILIADORA 2,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
BASTIÓN POPULAR NORTE,BASTIÓN POPULAR NORTE 1,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTENARIO,CENTENARIO 1,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MONTE SINAÍ,MONTE SINAÍ 6,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ARCHIDONA,ARCHIDONA 1,TENA,ZONA 2,ARCHIDONA,1503,NAPO,15
GUASMO,GUASMO 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN JUAN,SAN JUAN 2,PUEBLOVIEJO,ZONA 5,PUEBLOVIEJO,1204,LOS RÍOS,12
YANUNCAY,YANUNCAY 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
EL VERGEL SUR,EL VERGEL SUR 1,BUENA FE,ZONA 5,VALENCIA,1211,LOS RÍOS,12
AEROPUERTO,AEROPUERTO 1,TENA,ZONA 2,TENA,1501,NAPO,15
SAN JOSÉ DEL TAMBO,SAN JOSÉ DEL TAMBO 1,CHILLANES,ZONA 5,CHILLANES,202,BOLÍVAR,2
SAN JUAN DE CALDERÓN,SAN JUAN DE CALDERÓN 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
NAYON,NAYON 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
SAN ISIDRO DEL INCA,SAN ISIDRO DEL INCA 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
NARANJITO SUR,NARANJITO SUR 1,NARANJITO MARCELINO MARIDUEÑA,ZONA 5,NARANJITO,912,GUAYAS,9
PALANDA,PALANDA 1,CHINCHIPE,ZONA 7,PALANDA,1908,ZAMORA CHINCHIPE,19
MACUMA,MACUMA 1,TAISHA,ZONA 6,TAISHA,1409,MORONA SANTIAGO,14
MOCACHE,MOCACHE 2,QUEVEDO,ZONA 5,MOCACHE,1212,LOS RÍOS,12
CASCALES,CASCALES 1,SUCUMBÍOS,ZONA 1,CASCALES,2106,SUCUMBÍOS,21
NARANJAL SUR,NARANJAL SUR 1,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
CHILLOGALLO,CHILLOGALLO 6,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
EL TAMBO,EL TAMBO 1,CATAMAYO,ZONA 7,CATAMAYO,1103,LOJA,11
COTOCOLLAO,COTOCOLLAO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
COLINAS DEL NORTE,COLINAS DEL NORTE 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
FLORESTA,FLORESTA 1,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA COCHA,LA COCHA 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
SAN FRANCISCO,SAN FRANCISCO 3,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LASSO,LASSO 2,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
QUITUMBE,QUITUMBE 1,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
AMAZONAS,AMAZONAS 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
PARAÍSO LA FLOR,PARAÍSO LA FLOR 2,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JIPIJAPA,JIPIJAPA 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
7 LAGOS,7 LAGOS 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MACHÁNGARA,MACHÁNGARA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
SOLANDA,SOLANDA 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CARCELÉN,CARCELÉN 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PARAÍSO LA FLOR,PARAÍSO LA FLOR 1,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MONJAS COLLACOTO,MONJAS COLLACOTO 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
GUAYLLABAMBA,GUAYLLABAMBA 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
ATARAZANA,ATARAZANA 3,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
9 DE MAYO,9 DE MAYO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
FLORESTA,FLORESTA 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
URDESA,URDESA 7,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
AMAGUAÑA CENTRO,AMAGUAÑA CENTRO 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
GUAYACÁN,GUAYACÁN 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
PALANDACOCHA,PALANDACOCHA 1,TENA,ZONA 2,TENA,1501,NAPO,15
MACHALA OCCIDENTAL,MACHALA OCCIDENTAL 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
VICTORIA,VICTORIA 4,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAYAUSI,SAYAUSI 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
EL TOACHI,EL TOACHI 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
VENEZUELA,VENEZUELA 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TUMBACO SUR,TUMBACO SUR 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
ESTACADA,ESTACADA 2,PEDRO CARBO,ZONA 5,PEDRO CARBO,914,GUAYAS,9
CHIMBACALLE,CHIMBACALLE 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CONTROL,CONTROL 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
PARQUE LINEAL,PARQUE LINEAL 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
BUENA FE ESTE,BUENA FE ESTE 2,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
GUANO,GUANO 1,GUANO,ZONA 3,GUANO,607,CHIMBORAZO,6
SIMÓN BOLÍVAR,SIMÓN BOLÍVAR 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
KENNEDY,KENNEDY 1,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO,CENTRO 2,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
EL COLORADO,EL COLORADO 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
PUERTO QUITO SUR,PUERTO QUITO SUR 1,NOROCCIDENTE,ZONA 2,PUERTO QUITO,1709,PICHINCHA,17
JIPIJAPA,JIPIJAPA 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CHANDUY,CHANDUY 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
BAÑOS,BAÑOS 2,BAÑOS,ZONA 3,BAÑOS DE AGUA SANTA,1802,TUNGURAHUA,18
BABA,BABA 1,BABAHOYO,ZONA 5,BABA,1202,LOS RÍOS,12
SELVA ALEGRE,SELVA ALEGRE 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
UNIVERSITARIO,UNIVERSITARIO 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
HUIGRA,HUIGRA 1,ALAUSÍ,ZONA 3,ALAUSÍ,602,CHIMBORAZO,6
SUBURBIO,SUBURBIO 5,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PORTETE,PORTETE 1,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CHANDUY,CHANDUY 2,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
TURUBAMBA,TURUBAMBA 3,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
SAUCES,SAUCES 6,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA MATRIZ,LA MATRIZ 2,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
SANTA ROSA,SANTA ROSA 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
TRONCAL NORTE,TRONCAL NORTE 1,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
MACARÁ,MACARÁ 2,MACARÁ,ZONA 7,MACARÁ,1108,LOJA,11
FLORIDA,FLORIDA 1,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA PAZ,LA PAZ 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
TABACUNDO,TABACUNDO 1,CAYAMBE,ZONA 2,PEDRO MONCAYO,1704,PICHINCHA,17
ROBERTO ASTUDILLO,ROBERTO ASTUDILLO 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
LAS CUADRAS,LAS CUADRAS 2,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
BALZAR OESTE,BALZAR OESTE 1,BALZAR,ZONA 5,BALZAR,904,GUAYAS,9
RAYITO DE LUZ,RAYITO DE LUZ 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
SAN VICENTE,SAN VICENTE 1,SUCRE,ZONA 4,SAN VICENTE,1322,MANABÍ,13
COCHAPAMBA,COCHAPAMBA 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LA MARISCAL,LA MARISCAL 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CRISTO VIVE,CRISTO VIVE 2,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SAMBORONDÓN,SAMBORONDÓN 2,SAMBORONDÓN,ZONA 8,SAMBORONDÓN,916,GUAYAS,9
10 DE AGOSTO,10 DE AGOSTO 1,PEDERNALES,ZONA 4,PEDERNALES,1317,MANABÍ,13
AGUAS FRÍAS,AGUAS FRÍAS 1,QUEVEDO,ZONA 5,MOCACHE,1212,LOS RÍOS,12
IZAMBA,IZAMBA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
CHIBUNGA,CHIBUNGA 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
BICENTENARIO,BICENTENARIO 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
ZAPOTAL NUEVO,ZAPOTAL NUEVO 1,VENTANAS,ZONA 5,VENTANAS,1207,LOS RÍOS,12
ALANGASÍ,ALANGASÍ 2,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
EL BOSQUE,EL BOSQUE 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
ESTEROS,ESTEROS 3,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PASCUALES,PASCUALES 3,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN LUIS,SAN LUIS 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
PUERTO HONDO,PUERTO HONDO 2,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BELLAVISTA DE CALDERÓN,BELLAVISTA DE CALDERÓN 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
CONTROL,CONTROL 2,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
CALUMA,CALUMA 1,SUBTRÓPICO,ZONA 5,CALUMA,206,BOLÍVAR,2
BARBONES,BARBONES 1,PASAJE,ZONA 7,EL GUABO,706,EL ORO,7
AEROPUERTO,AEROPUERTO 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LOS LLANOS,LOS LLANOS 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
LIRIO,LIRIO 1,COLTA,ZONA 3,COLTA,603,CHIMBORAZO,6
IMANTAG,IMANTAG 1,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
CLODOVEO JARAMILLO,CLODOVEO JARAMILLO 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
PALENQUE,PALENQUE 1,VINCES,ZONA 5,PALENQUE,1209,LOS RÍOS,12
EL VALLE,EL VALLE 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
PUENGASÍ,PUENGASÍ 4,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
PUERTO BOLÍVAR,PUERTO BOLÍVAR 2,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
LAS PALMERAS,LAS PALMERAS 2,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
LA PAZ,LA PAZ 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
MONTE SINAÍ,MONTE SINAÍ 5,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LASSO,LASSO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
ECUATORIANA,ECUATORIANA 2,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
ARCÁNGEL,ARCÁNGEL 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
RIO BONITO,RIO BONITO 1,PASAJE,ZONA 7,EL GUABO,706,EL ORO,7
LA MARISCAL,LA MARISCAL 5,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
VINCES CENTRO,VINCES CENTRO 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
SAN BARTOLOME DE PINLLO,SAN BARTOLOME DE PINLLO 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
7 DE OCTUBRE,7 DE OCTUBRE 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
ALANGASÍ,ALANGASÍ 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
LAS PRADERAS,LAS PRADERAS 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
BARRIO NUEVO,BARRIO NUEVO 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
COLINAS DEL NORTE,COLINAS DEL NORTE 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
NARANJITO CENTRO,NARANJITO CENTRO 1,NARANJITO MARCELINO MARIDUEÑA,ZONA 5,NARANJITO,912,GUAYAS,9
ECUATORIANA,ECUATORIANA 3,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
MOJANDA,MOJANDA 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
LAS PIÑAS,LAS PIÑAS 2,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
LA MANÁ SUR,LA MANÁ SUR 1,LA MANÁ,ZONA 3,LA MANÁ,502,COTOPAXI,5
SAN LUIS,SAN LUIS 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
LETAMENDI,LETAMENDI 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
LA PRADERA,LA PRADERA 3,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
EL SALADO,EL SALADO 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
CENTRO,CENTRO 4,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
GIRÓN,GIRÓN 2,GIRÓN,ZONA 6,GIRÓN,102,AZUAY,1
KENNEDY,KENNEDY 2,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO HISTÓRICO,CENTRO HISTÓRICO 5,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
CHILIBULO,CHILIBULO 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
POMASQUI,POMASQUI 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
LAS TOTORAS,LAS TOTORAS 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
CALCETA SUR,CALCETA SUR 1,BOLÍVAR JUNÍN,ZONA 4,BOLÍVAR,1302,MANABÍ,13
FLOR DE BASTIÓN,FLOR DE BASTIÓN 7,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ANTEPARA,ANTEPARA 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COCHAPAMBA,COCHAPAMBA 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LA BELLEZA,LA BELLEZA 1,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
MARÍA AUXILIADORA,MARÍA AUXILIADORA 3,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
SALITRE NORTE,SALITRE NORTE 1,SALITRE,ZONA 5,SALITRE,919,GUAYAS,9
SAN JUAN,SAN JUAN 3,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN ANDRÉS,SAN ANDRÉS 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
FERROVIARIA,FERROVIARIA 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
TUMBACO,TUMBACO 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
ALBORADA,ALBORADA 3,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ATAHUALPA,ATAHUALPA 2,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
EL ARENAL,EL ARENAL 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
CENTRO,CENTRO 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
SAN FRANCISCO,SAN FRANCISCO 1,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JUAN MONTALVO,JUAN MONTALVO 5,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
FLAVIO ALFARO,FLAVIO ALFARO 1,CHONE,ZONA 4,FLAVIO ALFARO,1305,MANABÍ,13
SAN JUAN,SAN JUAN 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
CUBA,CUBA 4,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
ISIDRO AYORA,ISIDRO AYORA 1,PEDRO CARBO,ZONA 5,ISIDRO AYORA,928,GUAYAS,9
FLOR DE BASTIÓN,FLOR DE BASTIÓN 3,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COTOCOLLAO,COTOCOLLAO 4,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
GUAMANÍ,GUAMANÍ 1,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
ORQUÍDEAS,ORQUÍDEAS 3,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PASCUALES,PASCUALES 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CHILLOGALLO,CHILLOGALLO 5,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 1,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PAUTE,PAUTE 2,PAUTE,ZONA 6,PAUTE,105,AZUAY,1
PARAÍSO LA FLOR,PARAÍSO LA FLOR 4,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BEJUCO,BEJUCO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
UNIVERSIDAD,UNIVERSIDAD 2,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
LA BONITA,LA BONITA 2,SUCUMBÍOS,ZONA 1,SUCUMBÍOS,2105,SUCUMBÍOS,21
LA BOTA,LA BOTA 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PISHIDATA,PISHIDATA 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
CHIMBACALLE,CHIMBACALLE 3,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
YAGUACHI SUR,YAGUACHI SUR 1,YAGUACHI,ZONA 5,SAN JACINTO DE YAGUACHI,920,GUAYAS,9
BUENOS AIRES,BUENOS AIRES 1,CIUDAD BLANCA,ZONA 1,SAN MIGUEL DE URCUQUÍ,1006,IMBABURA,10
JULCUY,JULCUY 1,JIPIJAPA,ZONA 4,JIPIJAPA,1306,MANABÍ,13
TAURA,TAURA 1,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
BASTIÓN POPULAR NORTE,BASTIÓN POPULAR NORTE 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BICENTENARIO,BICENTENARIO 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
TRINITARIA SUR,TRINITARIA SUR 5,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GIL RAMÍREZ DÁVALOS,GIL RAMÍREZ DÁVALOS 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
FORTIN,FORTIN 1,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PALANQUITA,PALANQUITA 1,CHONE,ZONA 4,FLAVIO ALFARO,1305,MANABÍ,13
TERMINAL TERRESTRE,TERMINAL TERRESTRE 2,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
PATRICIA PILAR,PATRICIA PILAR 1,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
27 DE FEBRERO,27 DE FEBRERO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
PALANDACOCHA,PALANDACOCHA 2,TENA,ZONA 2,TENA,1501,NAPO,15
AEROPUERTO,AEROPUERTO 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
RICAURTE,RICAURTE 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
SANTA ANA,SANTA ANA 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
LA CAROLINA,LA CAROLINA 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
NONO,NONO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
WILSON FRANCO,WILSON FRANCO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
VALLE HERMOSO,VALLE HERMOSO 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
EL FLORÓN,EL FLORÓN 3,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
LA ROLDÓS,LA ROLDÓS 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
PANECILLO,PANECILLO 1,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
MUCHO LOTE,MUCHO LOTE 1,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
NUEVA PROSPERINA,NUEVA PROSPERINA 2,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BALSAPAMBA,BALSAPAMBA 1,SAN MIGUEL,ZONA 5,SAN MIGUEL,205,BOLÍVAR,2
CENTRO HISTÓRICO,CENTRO HISTÓRICO 4,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
DAYUMA,DAYUMA 1,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
GUAMANÍ,GUAMANÍ 5,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
ABRAS DE MANTEQUILLA,ABRAS DE MANTEQUILLA 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
BELLAVISTA,BELLAVISTA 4,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CONE,CONE 1,YAGUACHI,ZONA 5,SAN JACINTO DE YAGUACHI,920,GUAYAS,9
YAGUACHI NORTE,YAGUACHI NORTE 1,YAGUACHI,ZONA 5,SAN JACINTO DE YAGUACHI,920,GUAYAS,9
ABDÓN CALDERÓN,ABDÓN CALDERÓN 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
NUEVO GUAYAQUIL,NUEVO GUAYAQUIL 1,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
DAYUMA,DAYUMA 3,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
MALVINAS NORTE,MALVINAS NORTE 1,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COLAISACA,COLAISACA 1,CALVAS,ZONA 7,CALVAS,1102,LOJA,11
EL MIRADOR,EL MIRADOR 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CRISTO VIVE,CRISTO VIVE 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
BOMBOIZA,BOMBOIZA 1,SUR - MORONA,ZONA 6,GUALAQUIZA,1402,MORONA SANTIAGO,14
BAÑOS,BAÑOS 1,BAÑOS,ZONA 3,BAÑOS DE AGUA SANTA,1802,TUNGURAHUA,18
NABÓN,NABÓN 1,NABÓN,ZONA 6,NABÓN,104,AZUAY,1
LAS PALMERAS,LAS PALMERAS 1,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
LA CONCEPCIÓN,LA CONCEPCIÓN 2,ESPEJO,ZONA 1,MIRA,404,CARCHI,4
CHECA,CHECA 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
MIRAFLORES,MIRAFLORES 2,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
LA MARISCAL,LA MARISCAL 4,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
BIBLIÁN,BIBLIÁN 1,AZOGUES,ZONA 6,BIBLIÁN,302,CAÑAR,3
LIGA CANTONAL,LIGA CANTONAL 2,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
MARTHA DE ROLDÓS,MARTHA DE ROLDÓS 6,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL VALLE,EL VALLE 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
RECREO,RECREO 4,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
EL VECINO,EL VECINO 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
