sexo,rango_edad,etnia,nacionalidad
MUJER,NIÑOS(AS),MONTUBIO/A,VENEZUELA
HOMBRE,ADOLESCENTES,MESTIZO/A,BOLIVIA
MUJER,ADOLESCENTES,AFRO,SIN_DATO
HOMBRE,ADULTO,BLANCO/A,CANADA
MUJER,ADULTO,SIN_DATO,CHINA POPULAR
HOMBRE,ADULTO,SIN_DATO,CHINA POPULAR
MUJER,ADULTO MAYOR,MONTUBIO/A,ECUADOR
MUJER,ADOLESCENTES,MESTIZO/A,REPUBLICA DOMINICANA
MUJER,NIÑOS(AS),BLANCO/A,ARGENTINA
MUJER,NIÑOS(AS),BLANCO/A,VENEZUELA
HOMBRE,ADULTO,MESTIZO/A,CUBA
HOMBRE,NIÑOS(AS),SIN_DATO,PERU
HOMBRE,ADULTO MAYOR,BLANCO/A,ESPAÑA
MUJER,ADULTO,ASIATICO/A,CHINA POPULAR
MUJER,NIÑOS(AS),OTROS,PERU
MUJER,NIÑOS(AS),OTROS,SIN_DATO
MUJER,ADULTO,OTROS,FRANCIA
MUJER,ADULTO,INDIGENA,ESPAÑA
HOMBRE,ADULTO,MESTIZO/A,BRASIL
HOMBRE,ADULTO,SIN_DATO,FRANCIA
MUJER,ADULTO,BLANCO/A,RUSIA
MUJER,ADULTO,OTROS,ESTADOS UNIDOS
MUJER,ADULTO,MULATO/A,COLOMBIA
HOMBRE,ADULTO,AFRO,ESTADOS UNIDOS
HOMBRE,ADOLESCENTES,BLANCO/A,COLOMBIA
MUJER,ADOLESCENTES,MULATO/A,VENEZUELA
HOMBRE,ADULTO MAYOR,BLANCO/A,OTROS
HOMBRE,ADOLESCENTES,MULATO/A,VENEZUELA
HOMBRE,ADULTO,OTROS,EGIPTO
MUJER,ADULTO,AFRO,CANADA
MUJER,ADULTO,ASIATICO/A,ECUADOR
HOMBRE,NIÑOS(AS),BLANCO/A,ESPAÑA
MUJER,ADOLESCENTES,MESTIZO/A,HONDURAS
HOMBRE,ADULTO MAYOR,BLANCO/A,COLOMBIA
HOMBRE,NIÑOS(AS),MESTIZO/A,SIN_DATO
MUJER,ADULTO,BLANCO/A,ALEMANIA
MUJER,ADULTO,INDIGENA,COLOMBIA
HOMBRE,ADOLESCENTES,AFRO,REPUBLICA DOMINICANA
MUJER,NIÑOS(AS),BLANCO/A,FRANCIA
HOMBRE,NIÑOS(AS),INDIGENA,OTROS
